id,strategy,time,rtask,htask,makespan,risk,expertise,shared
77, Planner, 18684.0, 13, 5, 239.0476190476191, 2.4738006864846284E-32, exp, 4
78, Planner, 18718.0, 13, 5, 153.8095238095238, 8.109527652010114E-29, exp, 4
79, Planner, 19905.0, 13, 5, 189.99999999999997, 1.2105184133612767E-30, exp, 4
80, RiskAssessmentPlanner, 144585.0, 13, 5, 200.00000000000003, 3.1031355811263188E-30, exp, 4
81, RiskAssessmentPlanner, 131861.0, 13, 5, 225.71428571428572, 2.2165254150902277E-31, exp, 4
82, RiskAssessmentPlanner, 138325.0, 13, 5, 159.52380952380952, 1.319360366125135E-30, exp, 4
83, RiskAssessmentPlanner, 141567.0, 14, 4, 110.00000000000001, 3.258292360182635E-30, exp, 4
84, MakespanPlanner, 121110.0, 14, 4, 52.38095238095236, 1.5312598513071918E-26, exp, 4
85, MakespanPlanner, 166508.0, 12, 6, 65.0, 4.253499586964421E-22, exp, 4
86, MakespanPlanner, 161170.0, 13, 5, 61.90476190476188, 2.492284914236965E-24, exp, 4
87, MakespanPlanner, 163897.0, 13, 5, 59.99999999999998, 9.346068428388618E-24, exp, 4
88, RiskPlanner, 65304.0, 15, 3, 600.0, 1.9851796137484495E-44, exp, 4
89, RiskPlanner, 65239.0, 15, 3, 600.0, 1.9851796137484495E-44, exp, 4
90, RiskPlanner, 71253.0, 15, 3, 600.0, 1.9851796137484495E-44, exp, 4
91, RiskPlanner, 65286.0, 15, 3, 600.0, 1.9851796137484495E-44, exp, 4
96, Planner, 18503.0, 13, 5, 252.38095238095238, 1.6901888795552317E-29, unexp, 4
97, Planner, 18835.0, 14, 4, 187.14285714285714, 2.2426348074694633E-30, unexp, 4
98, Planner, 18581.0, 13, 5, 93.33333333333331, 6.730707715917724E-25, unexp, 4
99, Planner, 18976.0, 15, 3, 215.71428571428575, 1.390783992319734E-33, unexp, 4
100, RiskAssessmentPlanner, 176329.0, 15, 3, 262.3809523809524, 2.1625407072026967E-35, unexp, 4
101, RiskAssessmentPlanner, 133250.0, 13, 5, 217.61904761904762, 1.144678182979205E-28, unexp, 4
102, RiskAssessmentPlanner, 144275.0, 13, 5, 215.71428571428572, 5.232814550762079E-28, unexp, 4
103, RiskAssessmentPlanner, 178717.0, 15, 3, 193.8095238095238, 2.712691063115064E-33, unexp, 4
104, MakespanPlanner, 76950.0, 11, 7, 45.0, 1.4896856570393963E-16, unexp, 4
105, MakespanPlanner, 143093.0, 12, 6, 45.23809523809523, 5.938957740525031E-18, unexp, 4
106, MakespanPlanner, 79675.0, 12, 6, 46.190476190476176, 1.2066453822019115E-19, unexp, 4
107, MakespanPlanner, 140139.0, 12, 6, 42.85714285714285, 5.429904219908599E-18, unexp, 4
108, RiskPlanner, 76130.0, 15, 3, 600.0, 2.5219133611693263E-43, unexp, 4
109, RiskPlanner, 67242.0, 15, 3, 600.0, 2.5219133611693267E-43, unexp, 4
110, RiskPlanner, 67081.0, 15, 3, 600.0, 2.5219133611693267E-43, unexp, 4
111, RiskPlanner, 75726.0, 15, 3, 600.0, 2.5219133611693263E-43, unexp, 4
116, Planner, 18972.0, 16, 2, 217.61904761904762, 9.375060314125668E-38, exp, 6
117, Planner, 19828.0, 16, 2, 310.95238095238096, 1.115613769753753E-39, exp, 6
118, Planner, 21363.0, 18, 0, 239.04761904761907, 1.3775598828919342E-42, exp, 6
119, Planner, 19739.0, 16, 2, 247.14285714285717, 2.7236664300628725E-39, exp, 6
120, RiskAssessmentPlanner, 161073.0, 14, 4, 194.7619047619048, 2.317007900574319E-32, exp, 6
121, RiskAssessmentPlanner, 150079.0, 13, 5, 120.95238095238095, 2.5950488486432366E-27, exp, 6
122, RiskAssessmentPlanner, 176397.0, 15, 3, 286.66666666666663, 3.1776108350733523E-37, exp, 6
123, RiskAssessmentPlanner, 148681.0, 11, 7, 115.7142857142857, 2.2905561911894707E-24, exp, 6
124, MakespanPlanner, 210232.0, 14, 4, 42.85714285714285, 6.302665547980403E-25, exp, 6
125, MakespanPlanner, 231284.0, 14, 4, 40.0, 5.88248784478171E-25, exp, 6
126, MakespanPlanner, 210640.0, 14, 4, 41.42857142857142, 2.1008885159934668E-24, exp, 6
127, MakespanPlanner, 201750.0, 14, 4, 43.809523809523796, 1.5318978762452367E-24, exp, 6
128, RiskPlanner, 77927.0, 17, 1, 680.0, 1.905772429198512E-51, exp, 6
129, RiskPlanner, 78350.0, 17, 1, 680.0, 1.1434634575191073E-50, exp, 6
130, RiskPlanner, 77549.0, 17, 1, 680.0, 1.905772429198512E-51, exp, 6
131, RiskPlanner, 77939.0, 17, 1, 680.0, 1.905772429198512E-51, exp, 6
136, Planner, 20478.0, 16, 2, 256.19047619047615, 2.179841032860319E-37, unexp, 6
137, Planner, 20847.0, 17, 1, 218.57142857142856, 1.6071531967072564E-38, unexp, 6
138, Planner, 18824.0, 16, 2, 235.7142857142857, 1.1962967588337429E-36, unexp, 6
139, Planner, 20253.0, 17, 1, 311.4285714285714, 3.736870342046262E-43, unexp, 6
140, RiskAssessmentPlanner, 156829.0, 13, 5, 217.14285714285717, 9.377203674965648E-28, unexp, 6
141, RiskAssessmentPlanner, 153432.0, 13, 5, 259.5238095238095, 1.4016467546684137E-29, unexp, 6
142, RiskAssessmentPlanner, 138020.0, 11, 7, 162.85714285714286, 1.8842439225995134E-22, unexp, 6
143, RiskAssessmentPlanner, 137096.0, 12, 6, 236.1904761904762, 7.790170967497364E-26, unexp, 6
144, MakespanPlanner, 167548.0, 12, 6, 36.0, 1.3454364154969574E-18, unexp, 6
145, MakespanPlanner, 165435.0, 13, 5, 37.14285714285714, 1.8163391609208936E-20, unexp, 6
146, MakespanPlanner, 167566.0, 12, 6, 36.0, 8.408977596855984E-18, unexp, 6
147, MakespanPlanner, 165735.0, 12, 6, 36.0, 2.1022443992139966E-17, unexp, 6
148, RiskPlanner, 78181.0, 17, 1, 680.0, 2.6680814008779166E-50, unexp, 6
149, RiskPlanner, 77713.0, 17, 1, 680.0, 4.4468023347965276E-51, unexp, 6
150, RiskPlanner, 77644.0, 17, 1, 680.0, 4.4468023347965276E-51, unexp, 6
151, RiskPlanner, 78037.0, 17, 1, 680.0, 2.6680814008779166E-50, unexp, 6
