run id, strategy, time to plan, robot task number, human task number, makespan, risk
1, Planner, 18503.0, 13, 5, 252.38095238095238, 1.6901888795552317E-29
2, Planner, 18835.0, 14, 4, 187.14285714285714, 2.2426348074694633E-30
3, Planner, 18581.0, 13, 5, 93.33333333333331, 6.730707715917724E-25
4, Planner, 18976.0, 15, 3, 215.71428571428575, 1.390783992319734E-33
5, RiskAssessmentPlanner, 176329.0, 15, 3, 262.3809523809524, 2.1625407072026967E-35
6, RiskAssessmentPlanner, 133250.0, 13, 5, 217.61904761904762, 1.144678182979205E-28
7, RiskAssessmentPlanner, 144275.0, 13, 5, 215.71428571428572, 5.232814550762079E-28
8, RiskAssessmentPlanner, 178717.0, 15, 3, 193.8095238095238, 2.712691063115064E-33
9, MakespanPlanner, 76950.0, 11, 7, 45.0, 1.4896856570393963E-16
10, MakespanPlanner, 143093.0, 12, 6, 45.23809523809523, 5.938957740525031E-18
11, MakespanPlanner, 79675.0, 12, 6, 46.190476190476176, 1.2066453822019115E-19
12, MakespanPlanner, 140139.0, 12, 6, 42.85714285714285, 5.429904219908599E-18
13, RiskPlanner, 76130.0, 15, 3, 600.0, 2.5219133611693263E-43
14, RiskPlanner, 67242.0, 15, 3, 600.0, 2.5219133611693267E-43
15, RiskPlanner, 67081.0, 15, 3, 600.0, 2.5219133611693267E-43
16, RiskPlanner, 75726.0, 15, 3, 600.0, 2.5219133611693263E-43
