run id, strategy, time to plan, robot task number, human task number, makespan, risk
1, Planner, 19595.0, 13, 5, 296.6666666666667, 6.176114353884065E-32
2, Planner, 18684.0, 13, 5, 239.0476190476191, 2.4738006864846284E-32
3, Planner, 18718.0, 13, 5, 153.8095238095238, 8.109527652010114E-29
4, Planner, 19905.0, 13, 5, 189.99999999999997, 1.2105184133612767E-30
5, RiskAssessmentPlanner, 144585.0, 13, 5, 200.00000000000003, 3.1031355811263188E-30
6, RiskAssessmentPlanner, 131861.0, 13, 5, 225.71428571428572, 2.2165254150902277E-31
7, RiskAssessmentPlanner, 138325.0, 13, 5, 159.52380952380952, 1.319360366125135E-30
8, RiskAssessmentPlanner, 141567.0, 14, 4, 110.00000000000001, 3.258292360182635E-30
9, MakespanPlanner, 121110.0, 14, 4, 52.38095238095236, 1.5312598513071918E-26
10, MakespanPlanner, 166508.0, 12, 6, 65.0, 4.253499586964421E-22
11, MakespanPlanner, 161170.0, 13, 5, 61.90476190476188, 2.492284914236965E-24
12, MakespanPlanner, 163897.0, 13, 5, 59.99999999999998, 9.346068428388618E-24
13, RiskPlanner, 65304.0, 15, 3, 600.0, 1.9851796137484495E-44
14, RiskPlanner, 65239.0, 15, 3, 600.0, 1.9851796137484495E-44
15, RiskPlanner, 71253.0, 15, 3, 600.0, 1.9851796137484495E-44
16, RiskPlanner, 65286.0, 15, 3, 600.0, 1.9851796137484495E-44
