run id, strategy, time to plan, robot task number, human task number, makespan, risk
1, Planner, 19198.0, 9, 9, 98.0952380952381, 4.1419094770765036E-14
2, Planner, 18491.0, 9, 9, 125.71428571428572, 1.5800130756670005E-15
3, Planner, 18519.0, 9, 9, 180.0, 9.739939981367442E-17
4, Planner, 18297.0, 9, 9, 148.09523809523807, 3.6981334616754484E-15
5, RiskAssessmentPlanner, 82246.0, 9, 9, 156.1904761904762, 6.90318246179417E-16
6, RiskAssessmentPlanner, 81377.0, 9, 9, 122.38095238095238, 1.3806364923588342E-14
7, RiskAssessmentPlanner, 81951.0, 9, 9, 194.28571428571428, 1.4088127473049331E-16
8, RiskAssessmentPlanner, 77575.0, 9, 9, 75.23809523809523, 9.01640158275157E-15
9, MakespanPlanner, 71336.0, 9, 9, 70.47619047619048, 6.263998900516933E-14
10, MakespanPlanner, 70142.0, 9, 9, 70.0, 3.4362508254264314E-13
11, MakespanPlanner, 78217.0, 9, 9, 76.1904761904762, 2.405375577798503E-13
12, MakespanPlanner, 78114.0, 9, 9, 63.333333333333314, 4.059071287534972E-12
13, RiskPlanner, 55362.0, 9, 9, 360.0, 1.0781730208966325E-20
14, RiskPlanner, 53352.0, 9, 9, 360.0, 2.129724485721744E-21
15, RiskPlanner, 50206.0, 9, 9, 360.0, 4.791880092873924E-21
16, RiskPlanner, 54884.0, 9, 9, 360.0, 1.0781730208966325E-20
