run id, strategy, time to plan, robot task number, human task number, makespan, risk
1, Planner, 18972.0, 16, 2, 217.61904761904762, 9.375060314125668E-38
2, Planner, 19828.0, 16, 2, 310.95238095238096, 1.115613769753753E-39
3, Planner, 21363.0, 18, 0, 239.04761904761907, 1.3775598828919342E-42
4, Planner, 19739.0, 16, 2, 247.14285714285717, 2.7236664300628725E-39
5, RiskAssessmentPlanner, 161073.0, 14, 4, 194.7619047619048, 2.317007900574319E-32
6, RiskAssessmentPlanner, 150079.0, 13, 5, 120.95238095238095, 2.5950488486432366E-27
7, RiskAssessmentPlanner, 176397.0, 15, 3, 286.66666666666663, 3.1776108350733523E-37
8, RiskAssessmentPlanner, 148681.0, 11, 7, 115.7142857142857, 2.2905561911894707E-24
9, MakespanPlanner, 210232.0, 14, 4, 42.85714285714285, 6.302665547980403E-25
10, MakespanPlanner, 231284.0, 14, 4, 40.0, 5.88248784478171E-25
11, MakespanPlanner, 210640.0, 14, 4, 41.42857142857142, 2.1008885159934668E-24
12, MakespanPlanner, 201750.0, 14, 4, 43.809523809523796, 1.5318978762452367E-24
13, RiskPlanner, 77927.0, 17, 1, 680.0, 1.905772429198512E-51
14, RiskPlanner, 78350.0, 17, 1, 680.0, 1.1434634575191073E-50
15, RiskPlanner, 77549.0, 17, 1, 680.0, 1.905772429198512E-51
16, RiskPlanner, 77939.0, 17, 1, 680.0, 1.905772429198512E-51
