run id, strategy, time to plan, robot task number, human task number, makespan, risk
1, Planner, 18879.0, 10, 8, 167.61904761904762, 6.41355733533052E-22
2, Planner, 19350.0, 11, 7, 118.57142857142858, 1.879754780533273E-23
3, Planner, 20457.0, 12, 6, 174.28571428571428, 4.344389813576846E-27
4, Planner, 21082.0, 12, 6, 180.95238095238093, 7.539202092143631E-28
5, RiskAssessmentPlanner, 106854.0, 11, 7, 141.90476190476187, 3.677790318371934E-24
6, RiskAssessmentPlanner, 92870.0, 9, 9, 129.52380952380952, 4.275704890220345E-19
7, RiskAssessmentPlanner, 101538.0, 11, 7, 143.80952380952382, 5.0282289508991286E-24
8, RiskAssessmentPlanner, 103089.0, 11, 7, 181.90476190476193, 5.611862668414204E-25
9, MakespanPlanner, 120485.0, 12, 6, 78.57142857142858, 8.344703953918407E-23
10, MakespanPlanner, 53996.0, 11, 7, 86.66666666666669, 3.104428554285121E-20
11, MakespanPlanner, 134386.0, 11, 7, 80.0, 1.2614820792015736E-21
12, MakespanPlanner, 114955.0, 11, 7, 83.80952380952384, 8.515004034610616E-21
13, RiskPlanner, 53716.0, 12, 6, 480.0, 2.1540577406124664E-34
14, RiskPlanner, 54008.0, 12, 6, 480.0, 3.2310866109186996E-34
15, RiskPlanner, 62948.0, 12, 6, 480.0, 2.1540577406124664E-34
16, RiskPlanner, 54683.0, 12, 6, 480.0, 2.1540577406124664E-34
