run id,shared,expertise,strategy,time to plan,average risk,max risk,foam collisions,wood collisions,metal collisions,best makespan,human makespan,best robot makespan,estimated robot makespan,robot foam,robot wood,robot metal
0,6,unexp,RiskAssessmentPlanner,176781,0.009411904761904762,0.03136,0,0,1,97.0,92.0,97.0,112.0,6,0,1
1,6,unexp,RiskAssessmentPlanner,149871,0.0053083333333333324,0.12544,0,0,0,86.2857142857143,42.0,86.2857142857143,86.2857142857143,6,0,6
2,6,unexp,RiskAssessmentPlanner,123798,0.024028264550264553,0.10751999999999999,1,0,1,81.85714285714288,78.0,81.85714285714288,104.00000000000003,2,6,1
3,6,unexp,RiskAssessmentPlanner,142080,0.029820708994708994,0.10751999999999999,2,0,1,78.0,78.0,77.57142857142858,102.5714285714286,2,6,1
4,6,unexp,RiskAssessmentPlanner,136827,0.0053083333333333324,0.12544,0,0,0,86.2857142857143,42.0,86.2857142857143,86.2857142857143,6,0,6
5,6,unexp,MakespanPlanner,173509,0.03769266666666667,0.12544,1,0,0,46.28571428571428,42.0,46.28571428571428,47.7142857142857,2,4,6
6,6,unexp,MakespanPlanner,181230,0.037664666666666666,0.12544,1,1,0,46.28571428571428,42.0,46.28571428571428,49.14285714285713,3,3,6
7,6,unexp,MakespanPlanner,186447,0.03528,0.12544,2,1,0,46.28571428571428,42.0,46.28571428571428,50.571428571428555,4,2,6
8,6,unexp,MakespanPlanner,181776,0.048538000000000005,0.18816,2,2,3,46.28571428571428,45.0,46.28571428571428,56.28571428571428,4,3,5
9,6,unexp,MakespanPlanner,173325,0.035035000000000004,0.12544,1,1,0,46.28571428571428,42.0,46.28571428571428,49.14285714285713,4,2,6
10,6,unexp,RiskPlanner,175707,6.208E-4,0.0022,1,0,0,205.0,109.0,205.0,225.0,5,0,0
11,6,unexp,RiskPlanner,465880,0.0014411764705882352,0.048999999999999995,0,0,0,243.66666666666666,7.0,243.66666666666666,243.66666666666666,5,6,6
12,6,unexp,RiskPlanner,108662,5.819220779220779E-4,0.004064,0,0,0,277.0,95.0,277.0,277.0,6,1,0
13,6,unexp,RiskPlanner,93785,4.884166666666666E-4,0.005209999999999999,0,0,0,445.33333333333337,60.0,445.33333333333337,445.33333333333337,6,6,0
14,6,unexp,RiskPlanner,100751,3.001851851851852E-4,0.00508,0,0,0,472.0,60.0,472.0,472.0,6,6,0
15,6,unexp,Planner,22122,0.004216470588235294,0.12544,0,0,0,202.71428571428578,7.0,202.71428571428578,202.71428571428578,6,5,6
16,6,unexp,Planner,25154,0.0,0.0,0,0,0,271.8095238095238,1.0,271.8095238095238,271.8095238095238,6,6,6
17,6,unexp,Planner,22652,0.002556142857142857,0.03136,0,0,0,205.8095238095238,54.0,205.8095238095238,205.8095238095238,6,4,2
18,6,unexp,Planner,25425,0.0,0.0,0,0,0,257.5238095238095,1.0,257.5238095238095,257.5238095238095,6,6,6
19,6,unexp,Planner,25050,0.0,0.0,0,0,0,295.1428571428571,1.0,295.1428571428571,295.1428571428571,6,6,6
20,4,exp,RiskAssessmentPlanner,78742,1.4720085470085471E-4,0.002512820512820513,1,1,0,492.0,81.0,492.0,532.0,5,4,3
