run id,shared,expertise,strategy,time to plan,average risk,max risk,foam collisions,wood collisions,metal collisions,best makespan,human makespan,best robot makespan,estimated robot makespan,robot foam,robot wood,robot metal
0,0,exp,RiskAssessmentPlanner,44425,1.0800000000000002E-4,0.0010640000000000003,1,0,0,369.0,72.0,369.0,389.0,3,3,3
1,0,exp,RiskAssessmentPlanner,43219,1.0800000000000002E-4,0.0010640000000000003,1,0,0,369.0,72.0,369.0,389.0,3,3,3
2,0,exp,RiskAssessmentPlanner,43301,1.0866666666666669E-4,0.0010760000000000001,1,0,0,369.0,72.0,369.0,389.0,3,3,3
3,0,exp,RiskAssessmentPlanner,43045,1.0800000000000002E-4,0.0010640000000000003,1,0,0,369.0,72.0,369.0,389.0,3,3,3
4,0,exp,RiskAssessmentPlanner,43281,1.0800000000000002E-4,0.0010640000000000003,1,0,0,369.0,72.0,369.0,389.0,3,3,3
5,0,exp,MakespanPlanner,93941,0.008991428571428574,0.04608,1,1,1,73.28571428571429,72.0,73.28571428571429,90.42857142857143,3,3,3
6,0,exp,MakespanPlanner,64981,0.008530449735449737,0.05040000000000001,0,2,1,81.3809523809524,72.0,81.3809523809524,101.14285714285717,3,3,3
7,0,exp,MakespanPlanner,70235,0.005177550264550266,0.033600000000000005,1,2,0,84.23809523809527,72.0,84.23809523809527,112.57142857142858,3,3,3
8,0,exp,MakespanPlanner,62070,0.009004351851851852,0.04879999999999999,0,2,1,73.28571428571429,72.0,73.28571428571429,80.9047619047619,3,3,3
9,0,exp,MakespanPlanner,61886,0.009832592592592594,0.08064,0,1,1,76.14285714285715,72.0,76.14285714285715,92.57142857142858,3,3,3
10,0,exp,RiskPlanner,42443,1.1111111111111114E-4,0.0010240000000000002,2,0,0,369.0,72.0,369.0,409.0,3,3,3
11,0,exp,RiskPlanner,43507,1.1000000000000002E-4,0.0010240000000000002,2,0,0,369.0,72.0,369.0,409.0,3,3,3
12,0,exp,RiskPlanner,43939,1.0866666666666669E-4,0.0010760000000000001,1,0,0,369.0,72.0,369.0,389.0,3,3,3
13,0,exp,RiskPlanner,41885,1.1244444444444447E-4,0.0010720000000000003,2,0,0,369.0,72.0,369.0,409.0,3,3,3
14,0,exp,RiskPlanner,43466,1.1000000000000002E-4,0.0010040000000000001,2,0,0,369.0,72.0,369.0,409.0,3,3,3
15,0,exp,Planner,16717,0.004092788032332007,0.043680000000000004,0,2,2,134.23809523809524,72.0,134.23809523809524,172.57142857142856,3,3,3
16,0,exp,Planner,16571,0.00484215873015873,0.033600000000000005,0,1,2,113.76190476190477,72.0,113.76190476190477,141.6190476190476,3,3,3
17,0,exp,Planner,16527,0.003043640211640212,0.03072,1,0,1,131.38095238095238,72.0,131.38095238095238,161.38095238095235,3,3,3
18,0,exp,Planner,16551,2.7499999999999996E-4,0.00256,0,2,0,136.61904761904762,72.0,136.61904761904762,176.61904761904762,3,3,3
19,0,exp,Planner,16498,0.008246960317460316,0.05376,2,1,2,127.0952380952381,72.0,127.0952380952381,169.95238095238096,3,3,3
20,0,unexp,RiskAssessmentPlanner,45215,3.989390681003585E-4,0.0026439999999999996,2,0,0,369.0,114.0,369.0,409.0,3,3,3
21,0,unexp,RiskAssessmentPlanner,45395,3.989390681003585E-4,0.0026439999999999996,2,0,0,369.0,114.0,369.0,409.0,3,3,3
