run id,shared,expertise,strategy,time to plan,average risk,max risk,foam collisions,wood collisions,metal collisions,best makespan,human makespan,best robot makespan,estimated robot makespan,robot foam,robot wood,robot metal
113,4,unexp,RiskPlanner,100314,224.86880000000002,1607.9360000000001,2,1,1,260.0,165.5,260.0,310.0,4,4,2
114,4,unexp,RiskPlanner,209932,109.5328,2048.0,1,1,1,337.5,59.25,337.5,375.0,5,5,5
115,4,unexp,Planner,16452,919.3641428571428,16384.0,0,1,1,151.5,75.25,151.5,174.0,4,5,5
116,4,unexp,Planner,17501,1246.7701538461538,10240.0,1,2,0,153.0,95.0,153.0,167.0,4,4,5
117,4,unexp,Planner,16608,2678.2947499999996,16384.0,2,2,2,135.75,118.5,135.75,172.75,4,4,4
118,4,unexp,Planner,16402,687.4962857142857,5120.0,1,1,1,163.0,75.25,163.0,175.5,4,5,5
119,4,unexp,Planner,16272,1082.9954871794873,10240.0,2,1,2,165.25,95.0,165.25,200.875,4,4,5
120,6,exp,RiskAssessmentPlanner,120466,130.456,4096.0,1,0,0,129.25,24.5,129.25,141.75,5,5,6
121,6,exp,RiskAssessmentPlanner,86383,437.8821818181818,1024.0,0,0,0,97.0,97.0,86.0,86.0,6,0,5
122,6,exp,RiskAssessmentPlanner,76175,709.3813333333333,2560.0,1,0,0,88.0,71.0,88.0,100.5,1,6,5
123,6,exp,RiskAssessmentPlanner,87627,320.10338461538464,4096.0,1,0,0,107.25,57.5,107.25,119.75,2,5,6
124,6,exp,RiskAssessmentPlanner,103362,413.04,1024.0,0,0,0,93.25,81.0,93.25,93.25,6,0,6
125,6,exp,MakespanPlanner,149089,1455.1565128205127,5120.0,2,3,0,64.25,57.5,64.25,73.625,2,5,6
126,6,exp,MakespanPlanner,152880,1389.1282051282053,4096.0,1,0,0,63.0,55.0,63.0,64.875,1,6,6
127,6,exp,MakespanPlanner,150051,1339.7784615384617,5120.0,1,1,0,64.0,57.5,64.0,67.75,2,5,6
128,6,exp,MakespanPlanner,154958,1432.4184615384615,5120.0,2,1,0,61.75,57.5,61.75,67.375,2,5,6
129,6,exp,MakespanPlanner,157289,1386.0102564102563,4096.0,2,0,0,63.0,57.5,63.0,66.75,2,5,6
130,6,exp,RiskPlanner,438951,30.11764705882353,1024.0,0,0,0,367.0,13.5,367.0,367.0,6,5,6
131,6,exp,RiskPlanner,80069,92.635,1024.0,0,0,0,186.75,150.0,186.75,186.75,6,2,0
132,6,exp,RiskPlanner,55895,37.582,152.2,0,0,0,177.0,177.0,151.0,151.0,6,0,0
133,6,exp,RiskPlanner,58061,30.023999999999997,61.504,0,0,0,177.0,177.0,156.0,156.0,6,0,0
134,6,exp,RiskPlanner,72304,21.422212121212123,152.9090909090909,0,0,0,302.0,96.0,302.0,302.0,6,6,0
135,6,exp,Planner,17929,200.25,4096.0,0,0,0,168.0,24.5,168.0,168.0,5,5,6
136,6,exp,Planner,17863,47.480000000000004,1280.0,0,1,0,204.25,27.0,204.25,211.75,6,4,6
137,6,exp,Planner,18047,66.96000000000001,1118.72,0,0,1,187.0,27.0,187.0,197.0,5,6,5
138,6,exp,Planner,19302,0.0,0.0,0,0,0,190.75,1.0,190.75,190.75,6,6,6
139,6,exp,Planner,16740,75.29411764705883,1280.0,0,1,0,201.25,13.5,201.25,204.375,6,5,6
140,6,unexp,RiskAssessmentPlanner,101898,916.0937142857143,16384.0,1,0,0,200.25,64.0,200.25,212.75,2,6,6
141,6,unexp,RiskAssessmentPlanner,83291,1078.500923076923,16384.0,1,0,0,163.0,80.0,163.0,175.5,1,6,6
142,6,unexp,RiskAssessmentPlanner,88966,751.5222857142857,10240.0,1,0,0,191.5,64.0,191.5,204.0,2,6,6
143,6,unexp,RiskAssessmentPlanner,77695,1819.7359999999999,4096.0,0,0,0,118.5,118.5,93.25,93.25,6,0,6
144,6,unexp,RiskAssessmentPlanner,80633,1078.500923076923,16384.0,1,0,0,161.75,80.0,161.75,174.25,1,6,6
145,6,unexp,MakespanPlanner,211150,7682.788571428572,32768.0,2,2,3,75.25,75.25,70.75,83.875,4,5,5
146,6,unexp,MakespanPlanner,210472,6198.194285714286,32768.0,3,0,2,71.5,71.5,68.75,78.125,3,6,5
147,6,unexp,MakespanPlanner,214865,4818.033777777777,20480.0,4,3,0,72.5,51.75,72.5,86.25,4,5,6
148,6,unexp,MakespanPlanner,214514,4324.181333333333,20480.0,3,2,0,73.5,51.75,73.5,82.875,4,5,6
149,6,unexp,MakespanPlanner,187585,5555.291428571429,16384.0,1,0,0,67.75,64.0,67.75,69.625,2,6,6
150,6,unexp,RiskPlanner,71543,211.18626950354607,4096.0,0,0,0,302.0,118.5,302.0,302.0,6,0,6
151,6,unexp,RiskPlanner,72231,186.91200000000003,1024.0,0,0,0,259.5,259.5,137.25,137.25,6,0,0
152,6,unexp,RiskPlanner,56246,184.5466666666667,2560.0,0,0,0,292.0,141.0,292.0,292.0,6,6,0
153,6,unexp,RiskPlanner,345870,75.29411764705883,2560.0,0,0,0,432.0,19.75,432.0,432.0,6,5,6
154,6,unexp,RiskPlanner,118776,122.06400000000001,245.824,0,0,0,259.5,259.5,156.0,156.0,6,0,0
155,6,unexp,Planner,17259,1163.4399999999998,10240.0,1,0,1,159.25,55.5,159.25,171.125,4,6,5
156,6,unexp,Planner,18695,318.71370967741933,6400.0,1,0,0,191.0,39.5,191.0,201.0,5,6,5
157,6,unexp,Planner,17744,662.5882352941177,20480.0,0,0,2,221.25,23.5,221.25,236.75,6,6,5
158,6,unexp,Planner,17807,609.8823529411765,10240.0,0,0,0,189.25,16.0,189.25,189.25,5,6,6
159,6,unexp,Planner,17865,18.823529411764707,640.0,0,0,0,206.0,16.0,206.0,206.0,5,6,6
