run id,shared,expertise,strategy,time to plan,average risk,max risk,foam collisions,wood collisions,metal collisions,best makespan,human makespan,best robot makespan,estimated robot makespan,robot foam,robot wood,robot metal
0,0,exp,RiskAssessmentPlanner,55760,0.005008484848484849,0.049408000000000014,2,0,1,234.0,121.5,234.0,271.5,3,3,3
1,0,exp,RiskAssessmentPlanner,55195,0.005008484848484849,0.049408000000000014,2,0,1,234.0,121.5,234.0,271.5,3,3,3
2,0,exp,RiskAssessmentPlanner,54969,0.005008484848484849,0.049408000000000014,2,0,1,234.0,121.5,234.0,271.5,3,3,3
3,0,exp,RiskAssessmentPlanner,54905,0.005008484848484849,0.049408000000000014,2,0,1,234.0,121.5,234.0,271.5,3,3,3
4,0,exp,RiskAssessmentPlanner,55507,0.005008484848484849,0.049408000000000014,2,0,1,234.0,121.5,234.0,271.5,3,3,3
5,0,exp,MakespanPlanner,68355,0.06964995833333336,0.40960000000000013,0,1,1,121.5,121.5,88.0,99.5,3,3,3
6,0,exp,MakespanPlanner,56120,0.06517096296296297,0.25600000000000006,1,1,1,122.5,121.5,122.5,155.0,3,3,3
7,0,exp,MakespanPlanner,68250,0.04246696296296298,0.17612800000000006,2,2,1,121.5,121.5,120.5,141.25,3,3,3
8,0,exp,MakespanPlanner,67902,0.06979972222222224,0.45226666666666676,0,1,1,121.5,121.5,101.5,110.875,3,3,3
9,0,exp,MakespanPlanner,98226,0.05964474074074075,0.24320000000000006,2,1,1,121.5,121.5,117.0,150.0,3,3,3
10,0,exp,RiskPlanner,44974,0.003426262626262627,0.02304000000000001,2,1,0,234.0,121.5,234.0,271.5,3,3,3
11,0,exp,RiskPlanner,47420,0.00399275420875421,0.03032000000000001,2,2,0,234.0,121.5,234.0,284.0,3,3,3
12,0,exp,RiskPlanner,42180,0.0032840404040404055,0.02304000000000001,1,1,0,234.0,121.5,234.0,259.0,3,3,3
13,0,exp,RiskPlanner,45140,0.003426262626262627,0.02304000000000001,2,1,0,234.0,121.5,234.0,271.5,3,3,3
14,0,exp,RiskPlanner,47211,0.0029880404040404053,0.015280000000000005,1,0,0,234.0,121.5,234.0,246.5,3,3,3
15,0,exp,Planner,15279,0.07646981481481484,0.8192000000000003,1,1,1,131.75,121.5,131.75,151.125,3,3,3
16,0,exp,Planner,15156,0.060099407407407414,0.32000000000000006,1,2,1,121.5,121.5,121.25,147.375,3,3,3
17,0,exp,Planner,15097,0.047830222222222246,0.25600000000000006,1,1,0,121.5,121.5,78.5,86.625,3,3,3
18,0,exp,Planner,15238,0.0524238888888889,0.25600000000000006,1,1,1,121.5,121.5,115.75,138.875,3,3,3
19,0,exp,Planner,15077,0.09481462962962965,0.40960000000000013,1,2,1,121.5,121.5,67.75,81.375,3,3,3
20,0,unexp,RiskAssessmentPlanner,59038,0.03661866666666668,0.19091200000000008,2,0,2,234.0,177.75,234.0,284.0,3,3,3
21,0,unexp,RiskAssessmentPlanner,58873,0.03661866666666668,0.19091200000000008,2,0,2,234.0,177.75,234.0,284.0,3,3,3
22,0,unexp,RiskAssessmentPlanner,58759,0.03661866666666668,0.19091200000000008,2,0,2,234.0,177.75,234.0,284.0,3,3,3
23,0,unexp,RiskAssessmentPlanner,58395,0.03661866666666668,0.19091200000000008,2,0,2,234.0,177.75,234.0,284.0,3,3,3
24,0,unexp,RiskAssessmentPlanner,58467,0.03661866666666668,0.19091200000000008,2,0,2,234.0,177.75,234.0,284.0,3,3,3
25,0,unexp,MakespanPlanner,68218,0.1836102777777778,1.0240000000000002,0,2,0,177.75,177.75,123.25,134.75,3,3,3
26,0,unexp,MakespanPlanner,68410,0.3219333333333334,1.6384000000000005,2,2,0,177.75,177.75,74.0,87.5,3,3,3
27,0,unexp,MakespanPlanner,68234,0.2490907407407408,1.0240000000000002,3,3,0,177.75,177.75,104.0,134.0,3,3,3
28,0,unexp,MakespanPlanner,68378,0.16605611111111113,1.0240000000000002,1,2,0,177.75,177.75,94.25,114.25,3,3,3
29,0,unexp,MakespanPlanner,68354,0.4300975555555557,2.0480000000000005,3,3,0,177.75,177.75,86.75,118.75,3,3,3
30,0,unexp,RiskPlanner,46325,0.02304963855421687,0.09936000000000002,1,2,0,234.0,177.75,234.0,271.5,3,3,3
31,0,unexp,RiskPlanner,42737,0.03493511111111112,0.20480000000000004,3,3,1,234.0,177.75,234.0,321.5,3,3,3
32,0,unexp,RiskPlanner,46440,0.02304963855421687,0.09936000000000002,1,2,0,234.0,177.75,234.0,271.5,3,3,3
33,0,unexp,RiskPlanner,46691,0.02304963855421687,0.09936000000000002,1,2,0,234.0,177.75,234.0,271.5,3,3,3
34,0,unexp,RiskPlanner,43653,0.03493511111111112,0.20480000000000004,3,3,1,234.0,177.75,234.0,321.5,3,3,3
35,0,unexp,Planner,15232,0.3324562962962964,3.276800000000001,1,0,2,177.75,177.75,115.0,136.875,3,3,3
36,0,unexp,Planner,15085,0.21768177777777786,2.0480000000000005,0,0,2,177.75,177.75,105.5,120.5,3,3,3
37,0,unexp,Planner,15118,0.32110518518518527,1.2800000000000002,2,2,0,177.75,177.75,93.5,105.875,3,3,3
38,0,unexp,Planner,15115,0.25144400000000006,1.1250000000000002,1,0,2,177.75,177.75,98.0,115.125,3,3,3
39,0,unexp,Planner,15002,0.30153333333333343,1.6512000000000004,0,0,3,177.75,177.75,74.5,85.0,3,3,3
40,2,exp,RiskAssessmentPlanner,91699,0.005826262626262627,0.049408000000000014,1,1,1,219.0,121.5,219.0,256.5,3,3,3
41,2,exp,RiskAssessmentPlanner,92018,0.008140000000000003,0.049408000000000014,1,1,1,208.0,132.5,208.0,245.5,2,3,3
42,2,exp,RiskAssessmentPlanner,77327,0.005808695652173915,0.049408000000000014,1,1,1,234.0,116.5,234.0,271.5,2,3,4
43,2,exp,RiskAssessmentPlanner,77920,0.005808695652173915,0.049408000000000014,1,1,1,234.0,116.5,234.0,271.5,2,3,4
44,2,exp,RiskAssessmentPlanner,77297,0.005808695652173915,0.049408000000000014,1,1,1,234.0,116.5,234.0,271.5,2,3,4
45,2,exp,MakespanPlanner,90659,0.08172355555555559,0.5120000000000001,2,1,2,90.5,81.0,90.5,114.125,4,4,4
46,2,exp,MakespanPlanner,90358,0.050577454545454564,0.32000000000000006,3,1,2,106.5,92.0,106.5,144.25,3,4,4
47,2,exp,MakespanPlanner,98221,0.13398818181818184,0.6758400000000002,0,3,2,96.0,94.5,96.0,114.125,4,3,4
48,2,exp,MakespanPlanner,90117,0.10831477272727276,0.8192000000000003,1,1,1,93.75,92.0,93.75,109.625,3,4,4
49,2,exp,MakespanPlanner,86266,0.10458621212121216,0.4642133333333335,2,3,1,92.0,92.0,88.25,114.125,3,4,4
50,2,exp,RiskPlanner,43677,0.001936242424242425,0.015333333333333338,0,0,0,286.0,97.0,286.0,286.0,4,4,3
51,2,exp,RiskPlanner,44962,0.0024097777777777785,0.021120000000000007,1,2,0,286.0,97.0,286.0,323.5,4,4,3
52,2,exp,RiskPlanner,52437,0.0025355151515151523,0.02320000000000001,2,1,0,286.0,97.0,286.0,323.5,4,4,3
53,2,exp,RiskPlanner,43611,0.001936242424242425,0.015333333333333338,0,0,0,286.0,97.0,286.0,286.0,4,4,3
54,2,exp,RiskPlanner,51703,0.002523878787878789,0.02320000000000001,2,1,0,286.0,97.0,286.0,323.5,4,4,3
55,2,exp,Planner,15088,0.047675486111111116,0.2733333333333334,0,2,0,134.75,81.0,134.75,145.25,4,4,4
